,date,name,region_id,value
178,2020-04-15,one_day,fr-lyon,4
179,2020-04-15,one_day,fr-paris,5
180,2020-04-15,one_day,hk-hongkong,41
181,2020-04-15,one_day,it-milan,3
182,2020-04-15,one_day,it-rome,5
183,2020-04-15,one_day,jp-tokyo,6
184,2020-04-15,one_day,kr-seoul,38
185,2020-04-15,one_day,mc-monaco,3
186,2020-04-15,one_day,mx-df,11
187,2020-04-15,one_day,nl-randstad,6
188,2020-04-15,one_day,pt-lisbon,11
189,2020-04-15,one_day,ru-moscow,13
190,2020-04-15,one_day,ru-stpetersburg,31
191,2020-04-15,one_day,se-stockholm,30
192,2020-04-15,one_day,sg-singapore,12
193,2020-04-15,one_day,tr-istanbul,9
194,2020-04-15,one_day,uk-birmingham,12
195,2020-04-15,one_day,uk-london,9
196,2020-04-15,one_day,uk-manchester,9
197,2020-04-15,one_day,us-boston,5
198,2020-04-15,one_day,us-chicago,6
199,2020-04-15,one_day,us-dc,4
200,2020-04-15,one_day,us-la,8
201,2020-04-15,one_day,us-nyc,6
202,2020-04-15,one_day,us-philadelphia,10
203,2020-04-15,one_day,us-seattle,7
204,2020-04-15,one_day,us-sf,4
205,2020-04-14,one_day,at-vienna,8
206,2020-04-14,one_day,au-melbourne,14
207,2020-04-14,one_day,au-sydney,13
208,2020-04-14,one_day,be-brussels,6
209,2020-04-14,one_day,br-saopaulo,11
210,2020-04-14,one_day,ca-montreal,11
211,2020-04-14,one_day,ca-toronto,15
212,2020-04-14,one_day,ca-vancouver,16
213,2020-04-14,one_day,de-berlin,12
214,2020-04-14,one_day,de-hamburg,13
215,2020-04-14,one_day,de-rhineruhr,16
216,2020-04-14,one_day,dk-copenhagen,13
217,2020-04-14,one_day,es-barcelona,4
218,2020-04-14,one_day,es-madrid,4
219,2020-04-14,one_day,fr-lyon,4
220,2020-04-14,one_day,fr-paris,6
221,2020-04-14,one_day,hk-hongkong,40
222,2020-04-14,one_day,it-milan,4
223,2020-04-14,one_day,it-rome,5
224,2020-04-14,one_day,jp-tokyo,7
225,2020-04-14,one_day,kr-seoul,40
226,2020-04-14,one_day,mc-monaco,2
227,2020-04-14,one_day,mx-df,12
228,2020-04-14,one_day,nl-randstad,6
229,2020-04-14,one_day,pt-lisbon,10
230,2020-04-14,one_day,ru-moscow,17
231,2020-04-14,one_day,ru-stpetersburg,32
232,2020-04-14,one_day,se-stockholm,28
233,2020-04-14,one_day,sg-singapore,13
234,2020-04-14,one_day,tr-istanbul,8
235,2020-04-14,one_day,uk-birmingham,13
236,2020-04-14,one_day,uk-london,9
237,2020-04-14,one_day,uk-manchester,10
238,2020-04-14,one_day,us-boston,5
239,2020-04-14,one_day,us-chicago,6
240,2020-04-14,one_day,us-dc,4
241,2020-04-14,one_day,us-la,9
242,2020-04-14,one_day,us-nyc,6
243,2020-04-14,one_day,us-philadelphia,11
244,2020-04-14,one_day,us-seattle,5
245,2020-04-14,one_day,us-sf,5
246,2020-04-13,one_day,at-vienna,6
247,2020-04-13,one_day,au-melbourne,13
248,2020-04-13,one_day,au-sydney,13
249,2020-04-13,one_day,be-brussels,6
250,2020-04-13,one_day,br-saopaulo,11
251,2020-04-13,one_day,ca-montreal,11
252,2020-04-13,one_day,ca-toronto,14
253,2020-04-13,one_day,ca-vancouver,14
254,2020-04-13,one_day,de-berlin,9
255,2020-04-13,one_day,de-hamburg,11
256,2020-04-13,one_day,de-rhineruhr,11
257,2020-04-13,one_day,dk-copenhagen,10
258,2020-04-13,one_day,es-barcelona,3
259,2020-04-13,one_day,es-madrid,5
260,2020-04-13,one_day,fr-lyon,3
261,2020-04-13,one_day,fr-paris,4
262,2020-04-13,one_day,hk-hongkong,42
263,2020-04-13,one_day,it-milan,3
264,2020-04-13,one_day,it-rome,3
265,2020-04-13,one_day,jp-tokyo,5
266,2020-04-13,one_day,kr-seoul,36
